mouseid,fa,pten,somasize,numctrl,numpten,prop,meanss_pten,meanss_all
0,0,0,83.837,30,44,59.4594595,88.52346667,89.4662973
0,0,0,69.984,30,44,59.4594595,88.52346667,89.4662973
0,0,0,82.128,30,44,59.4594595,88.52346667,89.4662973
0,0,0,86.446,30,44,59.4594595,88.52346667,89.4662973
0,0,0,74.032,30,44,59.4594595,88.52346667,89.4662973
0,0,0,71.693,30,44,59.4594595,88.52346667,89.4662973
0,0,0,92.203,30,44,59.4594595,88.52346667,89.4662973
0,0,0,73.672,30,44,59.4594595,88.52346667,89.4662973
0,0,0,66.116,30,44,59.4594595,88.52346667,89.4662973
0,0,0,92.113,30,44,59.4594595,88.52346667,89.4662973
0,0,0,83.567,30,44,59.4594595,88.52346667,89.4662973
0,0,0,89.504,30,44,59.4594595,88.52346667,89.4662973
0,0,0,119.548,30,44,59.4594595,88.52346667,89.4662973
0,0,0,100.748,30,44,59.4594595,88.52346667,89.4662973
0,0,0,80.868,30,44,59.4594595,88.52346667,89.4662973
0,0,0,73.402,30,44,59.4594595,88.52346667,89.4662973
0,0,0,64.857,30,44,59.4594595,88.52346667,89.4662973
0,0,0,75.111,30,44,59.4594595,88.52346667,89.4662973
0,0,0,93.102,30,44,59.4594595,88.52346667,89.4662973
0,0,0,86.086,30,44,59.4594595,88.52346667,89.4662973
0,0,0,144.286,30,44,59.4594595,88.52346667,89.4662973
0,0,0,77.99,30,44,59.4594595,88.52346667,89.4662973
0,0,0,66.386,30,44,59.4594595,88.52346667,89.4662973
0,0,0,106.055,30,44,59.4594595,88.52346667,89.4662973
0,0,0,81.678,30,44,59.4594595,88.52346667,89.4662973
0,0,0,81.408,30,44,59.4594595,88.52346667,89.4662973
0,0,0,100.838,30,44,59.4594595,88.52346667,89.4662973
0,0,0,80.958,30,44,59.4594595,88.52346667,89.4662973
0,0,0,152.382,30,44,59.4594595,88.52346667,89.4662973
0,0,0,104.706,30,44,59.4594595,88.52346667,89.4662973
0,0,1,66.746,30,44,59.4594595,90.10913636,89.4662973
0,0,1,68.005,30,44,59.4594595,90.10913636,89.4662973
0,0,1,88.784,30,44,59.4594595,90.10913636,89.4662973
0,0,1,94.631,30,44,59.4594595,90.10913636,89.4662973
0,0,1,95.081,30,44,59.4594595,90.10913636,89.4662973
0,0,1,77.27,30,44,59.4594595,90.10913636,89.4662973
0,0,1,132.052,30,44,59.4594595,90.10913636,89.4662973
0,0,1,84.736,30,44,59.4594595,90.10913636,89.4662973
0,0,1,95.441,30,44,59.4594595,90.10913636,89.4662973
0,0,1,94.901,30,44,59.4594595,90.10913636,89.4662973
0,0,1,61.079,30,44,59.4594595,90.10913636,89.4662973
0,0,1,66.296,30,44,59.4594595,90.10913636,89.4662973
0,0,1,83.927,30,44,59.4594595,90.10913636,89.4662973
0,0,1,100.118,30,44,59.4594595,90.10913636,89.4662973
0,0,1,87.525,30,44,59.4594595,90.10913636,89.4662973
0,0,1,84.017,30,44,59.4594595,90.10913636,89.4662973
0,0,1,97.42,30,44,59.4594595,90.10913636,89.4662973
0,0,1,83.297,30,44,59.4594595,90.10913636,89.4662973
0,0,1,90.134,30,44,59.4594595,90.10913636,89.4662973
0,0,1,87.885,30,44,59.4594595,90.10913636,89.4662973
0,0,1,115.231,30,44,59.4594595,90.10913636,89.4662973
0,0,1,95.351,30,44,59.4594595,90.10913636,89.4662973
0,0,1,72.683,30,44,59.4594595,90.10913636,89.4662973
0,0,1,89.684,30,44,59.4594595,90.10913636,89.4662973
0,0,1,101.648,30,44,59.4594595,90.10913636,89.4662973
0,0,1,102.727,30,44,59.4594595,90.10913636,89.4662973
0,0,1,109.654,30,44,59.4594595,90.10913636,89.4662973
0,0,1,71.783,30,44,59.4594595,90.10913636,89.4662973
0,0,1,78.71,30,44,59.4594595,90.10913636,89.4662973
0,0,1,81.678,30,44,59.4594595,90.10913636,89.4662973
0,0,1,79.609,30,44,59.4594595,90.10913636,89.4662973
0,0,1,91.483,30,44,59.4594595,90.10913636,89.4662973
0,0,1,86.446,30,44,59.4594595,90.10913636,89.4662973
0,0,1,69.084,30,44,59.4594595,90.10913636,89.4662973
0,0,1,83.477,30,44,59.4594595,90.10913636,89.4662973
0,0,1,111.093,30,44,59.4594595,90.10913636,89.4662973
0,0,1,103.087,30,44,59.4594595,90.10913636,89.4662973
0,0,1,114.151,30,44,59.4594595,90.10913636,89.4662973
0,0,1,107.225,30,44,59.4594595,90.10913636,89.4662973
0,0,1,115.95,30,44,59.4594595,90.10913636,89.4662973
0,0,1,89.864,30,44,59.4594595,90.10913636,89.4662973
0,0,1,91.753,30,44,59.4594595,90.10913636,89.4662973
0,0,1,80.419,30,44,59.4594595,90.10913636,89.4662973
0,0,1,82.667,30,44,59.4594595,90.10913636,89.4662973
1,0,0,85.613,58,68,53.968254,91.61551724,99.45829365
1,0,0,107.067,58,68,53.968254,91.61551724,99.45829365
1,0,0,110.103,58,68,53.968254,91.61551724,99.45829365
1,0,0,95.328,58,68,53.968254,91.61551724,99.45829365
1,0,0,86.625,58,68,53.968254,91.61551724,99.45829365
1,0,0,85.006,58,68,53.968254,91.61551724,99.45829365
1,0,0,113.342,58,68,53.968254,91.61551724,99.45829365
1,0,0,79.137,58,68,53.968254,91.61551724,99.45829365
1,0,0,87.233,58,68,53.968254,91.61551724,99.45829365
1,0,0,64.362,58,68,53.968254,91.61551724,99.45829365
1,0,0,103.02,58,68,53.968254,91.61551724,99.45829365
1,0,0,119.616,58,68,53.968254,91.61551724,99.45829365
1,0,0,74.482,58,68,53.968254,91.61551724,99.45829365
1,0,0,91.685,58,68,53.968254,91.61551724,99.45829365
1,0,0,102.817,58,68,53.968254,91.61551724,99.45829365
1,0,0,100.793,58,68,53.968254,91.61551724,99.45829365
1,0,0,85.006,58,68,53.968254,91.61551724,99.45829365
1,0,0,104.436,58,68,53.968254,91.61551724,99.45829365
1,0,0,97.15,58,68,53.968254,91.61551724,99.45829365
1,0,0,89.459,58,68,53.968254,91.61551724,99.45829365
1,0,0,85.411,58,68,53.968254,91.61551724,99.45829365
1,0,0,80.351,58,68,53.968254,91.61551724,99.45829365
1,0,0,126.902,58,68,53.968254,91.61551724,99.45829365
1,0,0,115.77,58,68,53.968254,91.61551724,99.45829365
1,0,0,74.077,58,68,53.968254,91.61551724,99.45829365
1,0,0,85.411,58,68,53.968254,91.61551724,99.45829365
1,0,0,92.09,58,68,53.968254,91.61551724,99.45829365
1,0,0,79.542,58,68,53.968254,91.61551724,99.45829365
1,0,0,114.354,58,68,53.968254,91.61551724,99.45829365
1,0,0,110.508,58,68,53.968254,91.61551724,99.45829365
1,0,0,86.221,58,68,53.968254,91.61551724,99.45829365
1,0,0,96.543,58,68,53.968254,91.61551724,99.45829365
1,0,0,94.316,58,68,53.968254,91.61551724,99.45829365
1,0,0,72.66,58,68,53.968254,91.61551724,99.45829365
1,0,0,89.864,58,68,53.968254,91.61551724,99.45829365
1,0,0,80.351,58,68,53.968254,91.61551724,99.45829365
1,0,0,87.03,58,68,53.968254,91.61551724,99.45829365
1,0,0,108.282,58,68,53.968254,91.61551724,99.45829365
1,0,0,111.52,58,68,53.968254,91.61551724,99.45829365
1,0,0,99.174,58,68,53.968254,91.61551724,99.45829365
1,0,0,91.685,58,68,53.968254,91.61551724,99.45829365
1,0,0,97.96,58,68,53.968254,91.61551724,99.45829365
1,0,0,87.03,58,68,53.968254,91.61551724,99.45829365
1,0,0,73.672,58,68,53.968254,91.61551724,99.45829365
1,0,0,76.303,58,68,53.968254,91.61551724,99.45829365
1,0,0,72.458,58,68,53.968254,91.61551724,99.45829365
1,0,0,79.542,58,68,53.968254,91.61551724,99.45829365
1,0,0,104.639,58,68,53.968254,91.61551724,99.45829365
1,0,0,80.351,58,68,53.968254,91.61551724,99.45829365
1,0,0,86.018,58,68,53.968254,91.61551724,99.45829365
1,0,0,97.555,58,68,53.968254,91.61551724,99.45829365
1,0,0,106.865,58,68,53.968254,91.61551724,99.45829365
1,0,0,93.912,58,68,53.968254,91.61551724,99.45829365
1,0,0,64.969,58,68,53.968254,91.61551724,99.45829365
1,0,0,69.017,58,68,53.968254,91.61551724,99.45829365
1,0,0,91.483,58,68,53.968254,91.61551724,99.45829365
1,0,0,95.733,58,68,53.968254,91.61551724,99.45829365
1,0,0,71.851,58,68,53.968254,91.61551724,99.45829365
1,0,1,103.627,58,68,53.968254,106.1477206,99.45829365
1,0,1,114.151,58,68,53.968254,106.1477206,99.45829365
1,0,1,87.84,58,68,53.968254,106.1477206,99.45829365
1,0,1,105.043,58,68,53.968254,106.1477206,99.45829365
1,0,1,80.756,58,68,53.968254,106.1477206,99.45829365
1,0,1,100.388,58,68,53.968254,106.1477206,99.45829365
1,0,1,82.982,58,68,53.968254,106.1477206,99.45829365
1,0,1,80.554,58,68,53.968254,106.1477206,99.45829365
1,0,1,111.52,58,68,53.968254,106.1477206,99.45829365
1,0,1,126.7,58,68,53.968254,106.1477206,99.45829365
1,0,1,103.02,58,68,53.968254,106.1477206,99.45829365
1,0,1,103.829,58,68,53.968254,106.1477206,99.45829365
1,0,1,102.615,58,68,53.968254,106.1477206,99.45829365
1,0,1,83.185,58,68,53.968254,106.1477206,99.45829365
1,0,1,78.934,58,68,53.968254,106.1477206,99.45829365
1,0,1,119.414,58,68,53.968254,106.1477206,99.45829365
1,0,1,97.352,58,68,53.968254,106.1477206,99.45829365
1,0,1,140.26,58,68,53.968254,106.1477206,99.45829365
1,0,1,90.876,58,68,53.968254,106.1477206,99.45829365
1,0,1,97.96,58,68,53.968254,106.1477206,99.45829365
1,0,1,147.344,58,68,53.968254,106.1477206,99.45829365
1,0,1,111.52,58,68,53.968254,106.1477206,99.45829365
1,0,1,99.984,58,68,53.968254,106.1477206,99.45829365
1,0,1,78.125,58,68,53.968254,106.1477206,99.45829365
1,0,1,110.103,58,68,53.968254,106.1477206,99.45829365
1,0,1,136.415,58,68,53.968254,106.1477206,99.45829365
1,0,1,116.782,58,68,53.968254,106.1477206,99.45829365
1,0,1,113.342,58,68,53.968254,106.1477206,99.45829365
1,0,1,127.712,58,68,53.968254,106.1477206,99.45829365
1,0,1,83.589,58,68,53.968254,106.1477206,99.45829365
1,0,1,125.688,58,68,53.968254,106.1477206,99.45829365
1,0,1,111.318,58,68,53.968254,106.1477206,99.45829365
1,0,1,125.283,58,68,53.968254,106.1477206,99.45829365
1,0,1,106.258,58,68,53.968254,106.1477206,99.45829365
1,0,1,127.914,58,68,53.968254,106.1477206,99.45829365
1,0,1,91.281,58,68,53.968254,106.1477206,99.45829365
1,0,1,84.601,58,68,53.968254,106.1477206,99.45829365
1,0,1,108.282,58,68,53.968254,106.1477206,99.45829365
1,0,1,106.258,58,68,53.968254,106.1477206,99.45829365
1,0,1,88.245,58,68,53.968254,106.1477206,99.45829365
1,0,1,101.198,58,68,53.968254,106.1477206,99.45829365
1,0,1,106.46,58,68,53.968254,106.1477206,99.45829365
1,0,1,116.175,58,68,53.968254,106.1477206,99.45829365
1,0,1,71.851,58,68,53.968254,106.1477206,99.45829365
1,0,1,93.304,58,68,53.968254,106.1477206,99.45829365
1,0,1,98.567,58,68,53.968254,106.1477206,99.45829365
1,0,1,93.507,58,68,53.968254,106.1477206,99.45829365
1,0,1,127.712,58,68,53.968254,106.1477206,99.45829365
1,0,1,102.615,58,68,53.968254,106.1477206,99.45829365
1,0,1,141.475,58,68,53.968254,106.1477206,99.45829365
1,0,1,107.877,58,68,53.968254,106.1477206,99.45829365
1,0,1,129.533,58,68,53.968254,106.1477206,99.45829365
1,0,1,96.948,58,68,53.968254,106.1477206,99.45829365
1,0,1,88.852,58,68,53.968254,106.1477206,99.45829365
1,0,1,149.571,58,68,53.968254,106.1477206,99.45829365
1,0,1,85.816,58,68,53.968254,106.1477206,99.45829365
1,0,1,75.898,58,68,53.968254,106.1477206,99.45829365
1,0,1,79.744,58,68,53.968254,106.1477206,99.45829365
1,0,1,163.333,58,68,53.968254,106.1477206,99.45829365
1,0,1,106.055,58,68,53.968254,106.1477206,99.45829365
1,0,1,111.52,58,68,53.968254,106.1477206,99.45829365
1,0,1,136.617,58,68,53.968254,106.1477206,99.45829365
1,0,1,89.661,58,68,53.968254,106.1477206,99.45829365
1,0,1,114.961,58,68,53.968254,106.1477206,99.45829365
1,0,1,97.757,58,68,53.968254,106.1477206,99.45829365
1,0,1,89.054,58,68,53.968254,106.1477206,99.45829365
1,0,1,99.984,58,68,53.968254,106.1477206,99.45829365
1,0,1,130.95,58,68,53.968254,106.1477206,99.45829365
2,0,0,58.088,18,33,64.7058824,81.97033333,92.8044902
2,0,0,85.613,18,33,64.7058824,81.97033333,92.8044902
2,0,0,92.09,18,33,64.7058824,81.97033333,92.8044902
2,0,0,77.315,18,33,64.7058824,81.97033333,92.8044902
2,0,0,78.53,18,33,64.7058824,81.97033333,92.8044902
2,0,0,67.398,18,33,64.7058824,81.97033333,92.8044902
2,0,0,99.579,18,33,64.7058824,81.97033333,92.8044902
2,0,0,88.447,18,33,64.7058824,81.97033333,92.8044902
2,0,0,64.564,18,33,64.7058824,81.97033333,92.8044902
2,0,0,96.745,18,33,64.7058824,81.97033333,92.8044902
2,0,0,76.101,18,33,64.7058824,81.97033333,92.8044902
2,0,0,103.424,18,33,64.7058824,81.97033333,92.8044902
2,0,0,85.816,18,33,64.7058824,81.97033333,92.8044902
2,0,0,88.852,18,33,64.7058824,81.97033333,92.8044902
2,0,0,71.041,18,33,64.7058824,81.97033333,92.8044902
2,0,0,75.696,18,33,64.7058824,81.97033333,92.8044902
2,0,0,78.732,18,33,64.7058824,81.97033333,92.8044902
2,0,0,87.435,18,33,64.7058824,81.97033333,92.8044902
2,0,1,112.33,18,33,64.7058824,98.7140303,92.8044902
2,0,1,90.066,18,33,64.7058824,98.7140303,92.8044902
2,0,1,131.962,18,33,64.7058824,98.7140303,92.8044902
2,0,1,118.604,18,33,64.7058824,98.7140303,92.8044902
2,0,1,82.578,18,33,64.7058824,98.7140303,92.8044902
2,0,1,87.233,18,33,64.7058824,98.7140303,92.8044902
2,0,1,81.566,18,33,64.7058824,98.7140303,92.8044902
2,0,1,88.447,18,33,64.7058824,98.7140303,92.8044902
2,0,1,105.853,18,33,64.7058824,98.7140303,92.8044902
2,0,1,82.78,18,33,64.7058824,98.7140303,92.8044902
2,0,1,83.994,18,33,64.7058824,98.7140303,92.8044902
2,0,1,84.399,18,33,64.7058824,98.7140303,92.8044902
2,0,1,92.697,18,33,64.7058824,98.7140303,92.8044902
2,0,1,110.508,18,33,64.7058824,98.7140303,92.8044902
2,0,1,85.816,18,33,64.7058824,98.7140303,92.8044902
2,0,1,98.972,18,33,64.7058824,98.7140303,92.8044902
2,0,1,89.054,18,33,64.7058824,98.7140303,92.8044902
2,0,1,117.794,18,33,64.7058824,98.7140303,92.8044902
2,0,1,108.687,18,33,64.7058824,98.7140303,92.8044902
2,0,1,127.914,18,33,64.7058824,98.7140303,92.8044902
2,0,1,99.579,18,33,64.7058824,98.7140303,92.8044902
2,0,1,88.649,18,33,64.7058824,98.7140303,92.8044902
2,0,1,100.793,18,33,64.7058824,98.7140303,92.8044902
2,0,1,103.829,18,33,64.7058824,98.7140303,92.8044902
2,0,1,92.9,18,33,64.7058824,98.7140303,92.8044902
2,0,1,112.735,18,33,64.7058824,98.7140303,92.8044902
2,0,1,74.279,18,33,64.7058824,98.7140303,92.8044902
2,0,1,111.318,18,33,64.7058824,98.7140303,92.8044902
2,0,1,79.542,18,33,64.7058824,98.7140303,92.8044902
2,0,1,98.972,18,33,64.7058824,98.7140303,92.8044902
2,0,1,90.673,18,33,64.7058824,98.7140303,92.8044902
2,0,1,142.082,18,33,64.7058824,98.7140303,92.8044902
2,0,1,80.958,18,33,64.7058824,98.7140303,92.8044902
3,0,0,82.757,2,11,84.6153846,90.1785,101.191
3,0,0,97.6,2,11,84.6153846,90.1785,101.191
3,0,1,102.367,2,11,84.6153846,103.1932727,101.191
3,0,1,94.092,2,11,84.6153846,103.1932727,101.191
3,0,1,82.847,2,11,84.6153846,103.1932727,101.191
3,0,1,99.489,2,11,84.6153846,103.1932727,101.191
3,0,1,114.331,2,11,84.6153846,103.1932727,101.191
3,0,1,96.43,2,11,84.6153846,103.1932727,101.191
